contract_no,supplier,description,begin_date,end_date,max_amount
0000000000000000000001687,EQUITY COMMERCIAL PROPERTIES LTD,Bldg Lease-Hereford 20272,12/1/2011,5/31/2032,"$2,606,267.70"
0000000000000000000002691,ETMC EMS,Crockett Tower,9/2/2022,9/1/2027,"$108,000.00"
0000000000000000000003404,ETMC EMS,Groveton Tower,9/1/2023,8/31/2028,"$108,000.00"
0000000000000000000005107,EVERBRIDGE INC,Everbridge Software,8/18/2025,8/31/2028,"$469,314.00"
0000000000000000000003170,EVERBRIDGE INC,EVERBRIDGE,9/1/2023,8/31/2028,"$782,190.00"
0000000000000000000002769,EXASALES LLC,Drawbridge Blanket,2/1/2023,8/31/2027,"$3,950,000.00"
0000000000000000000004056,"EXECUTIVE INFORMATION SYSTEMS, LLC",SAS Maintenance,9/1/2024,8/31/2027,"$194,547.00"
0000000000000000000005148,FAIRFAX IMAGING INC,Scanning and Sorting System,8/28/2025,8/31/2026,"$111,095.00"
0000000000000000000005065,FAIRFAX IMAGING INC,Opex Falcon+ Scanner Maint,9/1/2025,8/31/2030,"$160,395.60"
0000000000000000000003570,FANDO LANDSCAPING AND LAWNCARE LLC,Lubbock Lawn Services,1/18/2024,8/31/2028,"$156,402.00"
0000000000000000000001719,FEDERAL EXPRESS,FedEx Shipping Agency Wide,11/28/2021,11/27/2026,"$943,264.00"
0000000000000000000005485,FIELDTURF USA INC,2026FL01000 Shtng Rng Port Rep,2/19/2026,8/31/2026,"$260,834.28"
405-12-25850,FINDERS REAL ESTATE LLC,Bldg Lease - Leon Valley 20290,11/1/2012,8/31/2027,"$6,962,785.00"
405-12-24388,FIRST NATIONAL BANK OF HEBBRONVILLE,Bld Lease - Hebbronville 20275,11/1/2011,10/31/2031,"$450,000.00"
000000000000000000003699A FISHER SCIENTIFIC,GMID-X Client License,,3/15/2024,3/14/2029,"$270,106.46"
0000000000000000000001249,FLIGHTSAFETY INTERNATIONAL INC,Flight Simulation Training,2/15/2021,5/14/2026,"$1,500,000.00"
0000000000000000000005547,FLINTCO LLC,HQ PT Track and Field,3/12/2026,8/31/2027,"$1,415,724.95"
0000000000000000000004440,FLOCK GROUP INC,Master Services Agreement,3/8/2025,3/7/2028,"$26,914,417.00"
0000000000000000000004372,FLORES AND ASSOCIATES LLC,Printer/Toner,3/4/2025,3/4/2030,"$2,500,000.00"
0000000000000000000002851,FLORES AND ASSOCIATES LLC,DLD KA Scanner Blanket SOLIC,3/8/2023,8/31/2027,"$7,500,000.00"
0000000000000000000002823,FORAY TECHNOLOGIES,FORAY Software Support,2/7/2023,2/7/2028,"$217,854.46"
0000000000000000000005044,FORENSIC ANALYSIS TRAINING CONNECTIONS,SPECIALIST INTERVIEW TRAINING,1/27/2026,1/26/2031,"$300,000.00"
0000000000000000000004748,FOUR LLC,FY25 SOLCT i2 Analyst Notebook,6/24/2025,6/24/2030,"$1,245,780.00"
0000000000000000000005444,"FRANK LOW VOLTAGE, LLC",SA Alamo - Fiber Ring,1/30/2026,8/31/2026,"$1,400,976.00"
0000000000000000000001620,"FRANK LOW VOLTAGE, LLC",Network Cabling Contract,9/1/2021,8/31/2026,"$5,000,000.00"
0000000000000000000005487,FULL SPECTRUM GROUP LLC,Lab Equip Main Blanket Service,3/15/2026,8/31/2030,"$900,000.00"
0000000000000000000003554,FUSIONSTAK LLC,CloudGavel Licenses,12/1/2023,11/30/2028,"$330,000.00"
0000000000000000000005379,G T DISTRIBUTORS INC,B26 FlexRS Uniforms,12/10/2025,8/31/2026,"$102,418.80"
0000000000000000000004636,G T DISTRIBUTORS INC,D25 Flex RS Uniforms,4/30/2025,8/31/2026,"$106,730.40"
0000000000000000000005519,G T DISTRIBUTORS INC,HQ THP Mossberg shotguns,3/3/2026,8/31/2026,"$122,000.00"
0000000000000000000005319,G T DISTRIBUTORS INC,A26 FlexRS Uniforms,11/14/2025,8/31/2026,"$140,205.20"
4/09/2026,0000000000000000000005342 G T DISTRIBUTORS INC,11.21.25_ 9mm Luger Ammo,11/21/2025,8/31/2026,"$145,950.00"
0000000000000000000005343,G T DISTRIBUTORS INC,11.21.25_9mm Training Ammo,11/21/2025,8/31/2026,"$153,360.00"
0000000000000000000005569,G T DISTRIBUTORS INC,3.20.26_Ammo_9MM Practice,3/20/2026,8/31/2027,"$215,586.20"
0000000000000000000005439,G T DISTRIBUTORS INC,1.23.26_Ammo 223 Cal,1/23/2026,8/31/2026,"$238,862.40"
0000000000000000000005220,G T DISTRIBUTORS INC,D25 FTU Training & Sim Auto,10/3/2025,8/31/2026,"$364,548.82"
0000000000000000000004997,G T DISTRIBUTORS INC,THP Holsters,8/1/2025,8/31/2026,"$553,403.52"
0000000000000000000004894,"G4 GEOMATIC RESOURCES, LLC",FY25 Leica CCP Renewal,6/27/2025,6/29/2026,"$150,931.29"
0000000000000000000005530,GALLS LLC,THP Region 6 FFO bags,2/13/2026,8/31/2026,"$125,552.28"
0000000000000000000005357,GALLS LLC,Active Shooter Kits,12/4/2025,8/31/2026,"$130,610.00"
0000000000000000000005192,GALLS LLC,D25 Armor Skin Uniforms,9/22/2025,8/31/2026,"$133,600.00"
0000000000000000000005318,GALLS LLC,A26 Armor Skins,11/14/2025,8/31/2026,"$133,600.00"
0000000000000000000005381,GALLS LLC,B26 Armor Skins,12/10/2025,8/31/2026,"$133,600.00"
0000000000000000000004769,GALLS LLC,C25 Soft Body Armor,6/3/2025,8/31/2026,"$156,000.00"
0000000000000000000005196,GALLS LLC,D25 Soft Body Armor,9/22/2025,8/31/2026,"$156,000.00"
0000000000000000000005320,GALLS LLC,A26 Soft Body Armor,11/14/2025,8/31/2026,"$156,000.00"
0000000000000000000005382,GALLS LLC,B26 Soft Body Armor,12/10/2025,8/31/2026,"$156,000.00"
0000000000000000000005321,GALLS LLC,THP 5.11 ranger green M.R. bag,11/14/2025,8/31/2026,"$160,377.00"
0000000000000000000005307,GALLS LLC,THP 5.11 kangaroo M.R. bag,11/12/2025,8/31/2026,"$183,288.00"
0000000000000000000005195,GALLS LLC,D25 Class AC Uniforms,9/22/2025,8/31/2026,"$204,625.60"
0000000000000000000005306,GALLS LLC,A26 Class AC Uniforms,11/12/2025,8/31/2026,"$204,625.60"
0000000000000000000005380,GALLS LLC,B26 Class AC Uniforms,12/10/2025,8/31/2026,"$204,625.60"
0000000000000000000004776,GALLS LLC,C25 TAC Vests,6/4/2025,8/31/2026,"$282,400.00"
0000000000000000000005215,GALLS LLC,D25 TAC Vests,10/2/2025,8/31/2026,"$282,400.00"
0000000000000000000005310,GALLS LLC,A26 TAC Vest,11/14/2025,8/31/2026,"$282,400.00"
0000000000000000000005383,GALLS LLC,B26 TAC Vests,12/10/2025,8/31/2026,"$282,400.00"
0000000000000000000005410,GALLS LLC,THP blanket PO armor grant,12/30/2025,8/31/2026,"$300,050.00"
0000000000000000000005564,GALLS LLC,THP Omega plates,3/19/2026,8/31/2026,"$363,500.00"
0000000000000000000005087,GALLS LLC,THP Lvl III ballistic shields,8/18/2025,8/31/2026,"$422,696.95"
0000000000000000000005482,GALLS LLC,HQ THP Ballistic Shields,3/5/2026,8/31/2026,"$1,623,360.00"
0000000000000000000005330,GALLS LLC,GSA GALLS BLANKET,2/11/2026,8/31/2030,"$5,000,000.00"
0000000000000000000005445,GARMIN INTERNATIONAL INC,Garmin Database Subscription,2/20/2026,2/19/2031,"$300,000.00"
0000000000000000000004123,GARMIN INTERNATIONAL INC,Garmin Avionic Parts,9/1/2024,8/31/2029,"$1,125,000.00"
0000000000000000000005111,"GCOM SOFTWARE LLC, A VOYATEK COMPANY",CCH+ Solution,1/19/2026,1/18/2031,"$47,917,320.00"
0000000000000000000005040,GEN-TEC INC,HOU CL Portable Generator,8/5/2025,8/4/2026,"$185,818.75"
0000000000000000000005014,GENTUERI INC,CLD CO Pouches,9/1/2025,8/31/2030,"$552,800.00"
0000000000000000000005584,GLADIATOR FORENSICS LLC,Gladiator Renewal Damien Light,4/1/2026,4/1/2027,"$100,999.00"
0000000000000000000005082,GLOBAL BUILDING MAINTENANCE INC,FY26SOLICT Dallas Mega Janitor,9/1/2025,8/31/2030,"$364,500.00"
0000000000000000000003657,GONZALES INDEPENDENT SCHOOL DISTRICT,Establish ICC w/ Gonzales ISD,1/18/2024,8/31/2034,"$412,560.00"
0000000000000000000004967,GRANITE DEFENSE & TECHNOLOGIES LLC,SKYDIO,7/17/2025,8/31/2026,"$165,073.74"
0000000000000000000004741,GRANITE DEFENSE & TECHNOLOGIES LLC,Skydio Drone Platform,5/28/2025,8/31/2028,"$231,525.21"
405-12-20548,GRIBBLE GATEWAY LLC,TFC Lease Universal City 20148,1/1/2008,12/31/2030,"$3,975,907.00"
4/09/2026,"0000000000000000000002476 GTS TECHNOLOGY SOLUTIONS, INC.",StruxureWare Data Ctr. Softwar,9/1/2022,8/31/2027,"$101,729.75"
0000000000000000000005523,"GTS TECHNOLOGY SOLUTIONS, INC.",Dell Isilon Warranty,3/11/2026,8/31/2027,"$106,991.46"
0000000000000000000004475,"GTS TECHNOLOGY SOLUTIONS, INC.",Net IQ DRA Maintenance,8/27/2025,8/31/2026,"$109,967.52"
0000000000000000000005166,"GTS TECHNOLOGY SOLUTIONS, INC.",FY25 CYB Laptop Upgrades,8/29/2025,8/31/2026,"$115,297.12"
0000000000000000000005110,"GTS TECHNOLOGY SOLUTIONS, INC.",3383815 - 70 Pro Max 14s w/32G,8/21/2025,8/31/2026,"$144,899.30"
0000000000000000000004840,"GTS TECHNOLOGY SOLUTIONS, INC.",Dell Plex Tower Plus,6/23/2025,6/22/2026,"$169,127.64"
0000000000000000000004797,"GTS TECHNOLOGY SOLUTIONS, INC.",Radio Dock Spares,6/6/2025,6/5/2026,"$174,480.00"
0000000000000000000003686,"GTS TECHNOLOGY SOLUTIONS, INC.",RECORDS,1/31/2024,1/31/2027,"$318,273.60"
0000000000000000000002553,"GTS TECHNOLOGY SOLUTIONS, INC.",CommShop 360 Support & Mainten,8/29/2022,8/31/2026,"$366,874.93"
0000000000000000000005538,"GTS TECHNOLOGY SOLUTIONS, INC.",PowerEdge Servers,3/11/2026,3/31/2027,"$471,087.04"
0000000000000000000003269,"GTS TECHNOLOGY SOLUTIONS, INC.",FY24 - Recorded Future - CYB,8/4/2023,8/31/2026,"$548,153.43"
0000000000000000000003629,"GTS TECHNOLOGY SOLUTIONS, INC.",Netmotion Platform Full Access,2/4/2024,2/3/2027,"$613,998.42"
0000000000000000000005331,"GTS TECHNOLOGY SOLUTIONS, INC.",FY26 Parts Build,11/18/2025,8/31/2026,"$634,820.00"
0000000000000000000004422,"GTS TECHNOLOGY SOLUTIONS, INC.",Secure Access Netmotion'25-'28,2/4/2025,2/3/2028,"$635,285.00"
0000000000000000000005149,"GTS TECHNOLOGY SOLUTIONS, INC.",3409931 - 147 Pro Max 16 Prem,8/28/2025,8/31/2026,"$648,641.91"
0000000000000000000005312,"GTS TECHNOLOGY SOLUTIONS, INC.",Peplink,11/13/2025,8/31/2026,"$672,315.00"
0000000000000000000003197,"GTS TECHNOLOGY SOLUTIONS, INC.",VMWARE Maintenance,9/1/2023,8/31/2028,"$786,574.16"
0000000000000000000004572,"GTS TECHNOLOGY SOLUTIONS, INC.",InRow Cooler/UPS Maint,4/16/2025,4/15/2030,"$805,100.68"
0000000000000000000004192,"GTS TECHNOLOGY SOLUTIONS, INC.",ARMIS ENTERPRISE LICENSES,9/27/2024,9/30/2029,"$1,249,444.44"
0000000000000000000005136,"GTS TECHNOLOGY SOLUTIONS, INC.",FY25 CYB Server Expansion,8/27/2025,8/31/2026,"$1,301,194.95"
0000000000000000000005403,"GTS TECHNOLOGY SOLUTIONS, INC.",Peplink Router Build,2/4/2026,2/4/2027,"$2,099,496.00"
0000000000000000000004716,"GTS TECHNOLOGY SOLUTIONS, INC.",FY25 Build,5/30/2025,5/29/2026,"$2,578,863.00"
0000000000000000000004570,"GTS TECHNOLOGY SOLUTIONS, INC.",CyberVault and CyberSense,5/9/2025,8/31/2030,"$2,834,774.35"
0000000000000000000005604,"GTS TECHNOLOGY SOLUTIONS, INC.",SIEM SOAR,4/10/2026,4/23/2031,"$7,778,344.05"
0000000000000000000003451,"GTS TECHNOLOGY SOLUTIONS, INC.",Splunk Enterprise Security,9/1/2023,10/15/2026,"$9,005,847.69"
0000000000000000000005407,"GTS TECHNOLOGY SOLUTIONS, INC.",Printer & Router Blanket,1/20/2026,1/20/2031,"$10,000,000.00"
0000000000000000000001749,"GTS TECHNOLOGY SOLUTIONS, INC.",Desktop & Laptop Blankets,8/20/2021,8/19/2026,"$25,000,000.00"
0000000000000000000003501,HALLMARK JET CENTER INC,San Antonio Hangar Lease,11/1/2023,10/31/2033,"$2,295,532.52"
0000000000000000000005546,HAMILTON,CLD - Hamilton Microlab,3/11/2026,8/31/2026,"$389,802.49"
0000000000000000000000964,HOUSTON COUNTY,ICC Houston County,5/7/2020,5/6/2030,"$240,000.00"
405-16-P006082,HUDSON DUDLEY PROPERTIES LLC,Building Lease - Perryton 6810,8/1/1990,10/31/2030,"$218,653.00"
0000000000000000000002210,HUNT COUNTY,Hunt Cty/Greenville DL Lease,12/22/2021,8/31/2026,"$662,740.00"
0000000000000000000005232,IBM CORPORATION,Solic IBM DB2 V12.1 Extd. Supp,10/9/2025,8/31/2026,"$117,400.00"
0000000000000000000003900,IBM CORPORATION,20024 - TWS Managed Services,6/26/2024,8/31/2027,"$1,208,000.00"
0000000000000000000003391,IBM CORPORATION,IBM Mainframe MLC,9/1/2023,8/31/2026,"$4,639,738.59"
405-12-24554,IBNI INVESTMENTS INC,Building Lease - Houston 20264,3/1/2012,2/28/2027,"$1,806,303.36"
0000000000000000000002980,IDEMIA IDENTITY & SECURITY USA LLC,Live Scan Maint,7/1/2023,6/30/2028,"$7,541,987.49"
0000000000000000000002486,IDEMIA IDENTITY & SECURITY USA LLC,Biometric Capture System (BCS),2/23/2023,2/29/2028,"$16,978,800.00"
0000000000000000000003285,IDEMIA IDENTITY & SECURITY USA LLC,Card Pro & Mailing Srvs,9/7/2023,8/31/2028,"$73,305,000.00"
0000000000000000000002598,IMMIX TECHNOLOGY INC,Address Validation,9/8/2022,8/31/2027,"$382,887.56"
0000000000000000000004060,IMMIX TECHNOLOGY INC,FY25 SOLCT ZeroFox,8/7/2024,8/31/2029,"$1,054,534.50"
4/09/2026,000000000000000000002758A IMPACT FIRE SERVICES LLC,Fire Extinguisher with Bracket,12/20/2022,8/31/2027,"$500,000.00"
0000000000000000000004331,INCIDENT COMMUNICATION SOLUTIONS,Satellite Hardware,12/20/2024,12/19/2029,"$639,028.00"
0000000000000000000004214,INDUSTRIAL STRENGTH INDUSTRIAL LLC,GSA LE Equip Blanket,10/11/2024,8/31/2029,"$4,500,000.00"
0000000000000000000004288,INFORMATION DISCOVERY SERVICES,Background Investigation,11/16/2024,3/24/2029,"$9,000,000.00"
0000000000000000000005449,"INNOVATION EVENT MANAGEMENT, LP",Criminal Justice Conference 26,1/29/2026,8/31/2026,"$333,010.35"
0000000000000000000002973,INSIGHT PSYCHOLOGY & BEHAVORIAL HEALTH,Insight Employee Evaluations,4/28/2023,4/27/2027,"$410,000.00"
0000000000000000000001867,INTEGRATED TOWER SYSTEMS INC,106 ft Portable Tower System,8/10/2021,8/10/2026,"$534,047.00"
0000000000000000000002976,INTELIBLUE LLC,MF Migration Staff Aug-QA,4/25/2023,5/31/2026,"$501,036.24"
405-12-20524,JACK B AND CAROLE HORNE,Bldg Lease - Coleman 9654,4/1/1997,3/31/2027,"$268,661.00"
0000000000000000000002404,JACKSON CONSTRUCTION & GENERAL CONTRACTI,LPR Pole Installation LES 2022,6/29/2022,8/31/2026,"$360,000.00"
0000000000000000000005484,JAMES ROBERTS,Aircraft Maint. Travis/William,2/19/2026,8/20/2030,"$500,000.00"
0000000000000000000004544,JDI VENTURES LLC DBA PEAK PERFORMANCE SO,CJIS AUDIT/TRN MAINT '25-'30,5/1/2025,4/30/2030,"$900,000.00"
0000000000000000000003601,JDM JANITORIAL INC.,Abilene Janitorial,12/12/2023,8/31/2028,"$276,181.76"
405-15-P002238,JESUS A RODRIGUEZ,Bldg lease - Presidio 20439,2/1/2015,2/28/2030,"$220,800.00"
0000000000000000000004793,JIM HOFFPAUIR INC,TMU ATV/UTV,6/5/2025,6/5/2026,"$132,710.90"
0000000000000000000003599,"JM ENGINEERING, LLC",20230403000 HVAC Replacement,12/12/2023,8/31/2028,"$116,751.80"
0000000000000000000002852,JOHNSON CONTROLS,FY23 HQ Statewide BAS JCI,3/10/2023,8/31/2026,"$495,250.05"
0000000000000000000005352,JOHNSON ROBERTS & ASSOCIATES INC,JRA Psychological Eval Tests,3/1/2026,8/31/2030,"$125,000.00"
0000000000000000000005240,JORDAN FORD LTD,Weslaco OEM parts Ford,10/27/2025,10/26/2030,"$200,000.00"
0000000000000000000004830,JOSE F PEREZ DBA BLUE LINE AIR CONDITION,FY26 R3 SOLICT Weslaco AirFilt,6/12/2025,8/31/2030,"$108,370.86"
405-17-P010959,JOSE GUILLERMO RUBIO-SANCHEZ,Marble Falls Bldg Lease 20536,9/9/2016,3/31/2027,"$1,100,451.96"
0000000000000000000005529,JPEC SERVICES LLC,AUSTIN-FLORENCE GENERATOR SRVC,3/11/2026,8/31/2030,"$950,000.00"
0000000000000000000003465,KASEWARE INC,Kaseware Enterprise Contract,9/11/2023,8/31/2033,"$47,660,000.00"
0000000000000000000002763,KATHERINE PARKER,Alpine Hanger Lease New,2/23/2023,2/22/2033,"$336,000.00"
CLD202208190813,KENDALL COUNTY,ICC SEIZED DRUG ANALYSIS,10/1/2022,9/30/2026,"$413,221.24"
0000000000000000000000143,KLEBERG COUNTY,TFC Lease - Kingsville 20271,9/1/2018,2/29/2028,"$113,000.00"
0000000000000000000004208,KUDELSKI SECURITY INC,Sophos Endpoint Protection,3/1/2025,3/29/2028,"$239,364.82"
405-15-P000693,LA ANNA WAGONSELLER,TFC Bldg lease - Bowie 9929 -,3/3/1998,2/29/2028,"$509,965.72"
0000000000000000000002970,LAGUNA SECA PROPERTIES INC,Los Fresnos Boat Barn Lease,4/20/2023,4/30/2028,"$446,000.00"
0000000000000000000004753,LAKE COUNTRY CHEVROLET INC,Silverado - Cpt x 15,6/6/2025,8/31/2026,"$1,213,587.75"
0000000000000000000004464,LAKE COUNTRY CHEVROLET INC,Tahoe BW x 229,5/23/2025,8/31/2026,"$19,135,565.18"
0000000000000000000001827,LAREDO COLLEGE,Laredo College ICC,9/21/2021,3/31/2038,"$689,190.00"
0000000000000000000004872,LAWMEN'S & SHOOTERS SUPPLY,Leather Gear,6/23/2025,6/22/2027,"$637,906.00"
0000000000000000000005360,"LBR Mechanical Services, LLC",Garland-CL-Exhust Fan Rplc.,12/5/2025,8/31/2026,"$264,688.40"
0000000000000000000003119,"LBR Mechanical Services, LLC",20220214000 TX City HVAC Con,6/14/2023,8/31/2026,"$607,471.97"
0000000000000000000004427,"LEADSONLINE PARENT, LLC",LeadsOnline Annual Licensing,3/28/2025,3/14/2030,"$1,656,260.00"
0000000000000000000000977,LEE COUNTY,Giddings Office Space DL/THP,6/12/2020,6/13/2030,"$120,000.00"
0000000000000000000005517,LENCO INDUSTRIES INC,AFR_Lenco Bearcats (HQ),3/2/2026,8/31/2026,"$831,236.00"
0000000000000000000003374,LEXISNEXIS,Lexis+ Subcription,9/27/2023,9/30/2028,"$227,220.00"
0000000000000000000004010,LEXISNEXIS,NEXIS NEWSDESK & RESEARCH SOLU,8/1/2024,7/31/2029,"$879,005.00"
0000000000000000000003649,LEXISNEXIS RISK SOLUTIONS FL INC,FY24 SOLCIT ICT TraX & Viper,1/16/2024,8/31/2028,"$288,549.00"
4/09/2026,0000000000000000000002701 LEXISNEXIS RISK SOLUTIONS FL INC,FY23 SOLCT Accurint VCC,11/18/2022,8/31/2027,"$1,254,000.00"
0000000000000000000003166,"LIBERTY EQUIPMENT SALES, INC.",Statewide Underground Storage,7/5/2023,7/4/2028,"$190,080.50"
0000000000000000000005391,LIFE TECHNOLOGIES CORPORATION,CLD_CO_AppliedBio_Kits,12/12/2025,8/31/2026,"$108,490.00"
0000000000000000000005193,LIFE TECHNOLOGIES CORPORATION,CLD CO Lab Supplies Life Tech,9/22/2025,8/31/2026,"$171,000.00"
0000000000000000000005565,LIFE TECHNOLOGIES CORPORATION,CLD_CO_GF & Yfiler Kits,3/19/2026,8/31/2026,"$321,670.00"
0000000000000000000005492,LIFE TECHNOLOGIES CORPORATION,GMID-XV1.7 SW UPG,2/24/2026,8/31/2026,"$346,508.80"
0000000000000000000005262,LIFE TECHNOLOGIES CORPORATION,Thermal Cycler Maintenance,11/1/2025,8/31/2030,"$509,121.10"
0000000000000000000005497,LIFE TECHNOLOGIES CORPORATION,Life Tech Rapid DNA,2/25/2026,2/25/2027,"$615,528.39"
0000000000000000000005605,LIFE TECHNOLOGIES CORPORATION,Lab Supplies Emergency Blanket,3/31/2026,8/31/2026,"$1,764,204.21"
0000000000000000000002228,LIFE TECHNOLOGIES CORPORATION,DNA Quantification Kits,4/20/2022,4/30/2027,"$2,121,211.40"
0000000000000000000003414,LIFE TECHNOLOGIES CORPORATION,CLD Service Contract,9/1/2023,8/31/2028,"$2,655,741.49"
0000000000000000000005135,"LIFELOC TECHNOLOGIES, INC.",THP Breathalyzers,8/29/2025,8/31/2026,"$104,274.16"
0000000000000000000003149,LOADOMETER CORP,Blanket CVE Scale Press,6/27/2023,8/31/2027,"$576,000.00"
0000000000000000000002825,"LOBLOLLY CONSULTING, LLC",Staff Aug SSIS Report Writer,2/6/2023,8/31/2026,"$631,440.00"
0000000000000000000003375,"LOBLOLLY CONSULTING, LLC",FY23 FIN Tableau Staff Aug,8/28/2023,8/31/2026,"$923,552.00"
0000000000000000000002349,LONE STAR HANGER SYSTEMS INC,David Hooks Hangar Lease,8/30/2022,8/31/2032,"$773,811.85"
0000000000000000000003581,LUBBOCK MOTORS F INC,Lubbock Blanket Ford OEM,12/1/2023,8/31/2028,"$150,000.00"
0000000000000000000002571,MAGNET FORENSICS LLC,HQ TR/CID/CL GrayKey License,9/1/2022,8/31/2026,"$928,017.85"
0000000000000000000003808,MARINUS ANALYTICS LLC,Traffic Jam,5/1/2024,4/30/2027,"$177,143.00"
0000000000000000000005174,"Mavich, LLC",Generator Statewide - Supplies,8/29/2025,8/31/2026,"$363,539.25"
0000000000000000000005447,"MAYRION CAPITAL, LLC",Recruit School Linen Services,3/2/2026,2/28/2031,"$350,000.00"
0000000000000000000000175,MCALLEN RESORT HOLDINGS LTD,TFC Lease La Joya 20620,10/24/2018,6/30/2029,"$4,115,622.00"
0000000000000000000005209,MCCREERY AVIATION CO INC,Region 3 Aircraft Maintenance,10/2/2025,8/31/2030,"$500,000.00"
0000000000000000000003617,METRO AVIATION INC,Heavy Aviation Maintenance,12/19/2023,12/31/2028,"$1,196,484.35"
0000000000000000000003632,METRO AVIATION INC,Heavy Aviation Maintenance,2/5/2024,12/31/2028,"$2,500,000.00"
0000000000000000000005222,METRO AVIATION INC,Helicopter Completions,10/16/2025,8/31/2027,"$21,807,099.85"
0000000000000000000003367,MICROASSIST INC,Sex Offender Registry,8/23/2023,8/31/2028,"$9,480,017.00"
0000000000000000000002706,MICROASSIST INC,Maintenance Application,2/10/2023,2/9/2028,"$19,147,741.44"
0000000000000000000004517,MICROSOFT CORPORATION,MS Premier Support,5/12/2025,5/11/2026,"$357,146.00"
0000000000000000000004874,MIDLAND COUNTY AUDITOR,Midland County ICC,11/11/2025,11/10/2029,"$478,474.34"
0000000000000000000003998,MILAM COUNTY,Milam County - Interlocal,7/18/2024,8/31/2031,"$444,872.00"
0000000000000000000002947,"MISSION CRITICAL PARTNERS, INC.",CRD Consulting Services,5/11/2023,5/10/2028,"$4,000,000.00"
0000000000000000000002005,ML BRYANT INTERESTS LLC,Law Enforcement Criminal Inves,9/1/2021,8/31/2026,"$1,400,000.00"
0000000000000000000004782,MOBILE MODULAR MANAGEMENT CORP,Modular Bathrooms and offices,6/4/2025,8/31/2026,"$130,002.00"
0000000000000000000003472,MONTGOMERY COUNTY,Montgomery Count. Trng Center,9/12/2023,8/31/2027,"$23,745,000.00"
0000000000000000000004869,MOTOROLA SOLUTIONS INC,Robertson County ASR,6/23/2025,6/22/2026,"$139,134.00"
0000000000000000000005457,MOTOROLA SOLUTIONS INC,A26 Body Worn Cameras,2/4/2026,8/31/2026,"$150,920.97"
0000000000000000000003307,MOTOROLA SOLUTIONS INC,MCM Upgrade,8/11/2023,8/10/2028,"$163,003.00"
0000000000000000000005205,MOTOROLA SOLUTIONS INC,C25 Body Worn Cameras,9/30/2025,9/30/2028,"$187,188.80"
0000000000000000000004699,MOTOROLA SOLUTIONS INC,A25 Body Worn Cameras,5/28/2025,5/27/2026,"$192,510.45"
0000000000000000000004701,MOTOROLA SOLUTIONS INC,B25 Body Worn Cameras,5/28/2025,5/27/2026,"$192,510.45"
4/09/2026,0000000000000000000004800 MOTOROLA SOLUTIONS INC,BWC Cap,6/6/2025,6/30/2026,"$308,766.00"
0000000000000000000005159,MOTOROLA SOLUTIONS INC,FY25 Motorola KVLs/APX Radio C,8/29/2025,8/31/2032,"$445,742.30"
0000000000000000000005495,MOTOROLA SOLUTIONS INC,THP Body Cameras BWC Grant,2/24/2026,2/24/2027,"$925,323.00"
0000000000000000000004943,MOTOROLA SOLUTIONS INC,TIRIS Phase 3,8/8/2025,8/31/2027,"$1,372,250.00"
000000000000000000002426A MOTOROLA SOLUTIONS INC,DLD Body Cameras,,7/22/2022,7/21/2026,"$1,500,000.00"
0000000000000000000002985,MOTOROLA SOLUTIONS INC,LPR-Facial Recognition,8/2/2023,8/31/2028,"$1,525,000.00"
0000000000000000000005092,MOTOROLA SOLUTIONS INC,APX Next Radios,8/25/2025,8/25/2026,"$2,449,694.08"
0000000000000000000004300,MOTOROLA SOLUTIONS INC,ACS Connectivitiy,12/18/2024,12/31/2029,"$4,993,852.00"
0000000000000000000004017,MOTOROLA SOLUTIONS INC,APX Radio,8/16/2024,8/31/2029,"$6,856,888.75"
0000000000000000000005385,MOTOROLA SOLUTIONS INC,FY26 Build Video,12/30/2025,8/31/2026,"$6,987,638.50"
0000000000000000000003867,MOTOROLA SOLUTIONS INC,MOTOROLA EQUIPMENT SERVICE & M,6/1/2024,8/31/2026,"$7,388,426.82"
0000000000000000000005409,MOTOROLA SOLUTIONS INC,APXNext Radios,12/23/2025,8/31/2026,"$8,420,158.50"
0000000000000000000003805,MOTOROLA SOLUTIONS INC,VIDEO EVIDENCE MANAGEMENT SOLU,9/1/2024,8/31/2027,"$8,854,461.00"
0000000000000000000005603,MOTOROLA SOLUTIONS INC,"CC AWARE, LPR, CC DEMS",3/31/2026,8/31/2030,"$9,102,386.66"
000000000000000000003289A MOTOROLA SOLUTIONS INC,10 Year Radio Lease,,9/19/2025,9/30/2034,"$58,077,950.58"
0000000000000000000003577,NARROW PATH PROPERTY MANAGEMENT LLC,Linden Cass County Lease,12/29/2023,12/28/2033,"$225,000.00"
0000000000000000000004177,NATIONAL ASSOC OF STATE BOATING LAW ADMI,TMU NASBLA Training,9/19/2024,8/31/2026,"$313,800.00"
0000000000000000000005426,"NATIONAL MEDICAL SERVICES, INC.",Drug Outsourcing,3/1/2026,8/31/2031,"$5,594,000.00"
0000000000000000000003989,"NATIONAL MEDICAL SERVICES, INC.",Toxicology Outsourcing,7/15/2024,7/14/2029,"$6,500,000.00"
0000000000000000000002827,NATL LAW ENFORCEMENT TELECOMMUNICATIONS,NLETS Subscription Srvcs,2/21/2023,8/31/2027,"$404,527.96"
0000000000000000000002420,NEC CORPORATION OF AMERICA,FY23 IVS,12/20/2022,12/31/2027,"$4,970,632.00"
